spp,x,G,N,time,ext
Species1,8.70819486715087,153.50855816540988,5.77806676346172e8,51327.556554180126,Extant
Species1,8.715015008904631,153.58412055156128,5.778468450803964e8,51549.30078381448,Extant
Species1,8.714644200514474,153.51136426009336,5.777771075661561e8,51773.35718248504,Extant
Species1,8.703613000242092,153.56628729900504,5.776805196800873e8,51996.543491253804,Extant
Species1,8.696827269773959,153.76897787848046,5.775267913631295e8,52218.6822505157,Extant
Species1,8.699170338064121,153.54716414738513,5.779414388174415e8,52439.728348886856,Extant
Species1,8.70264490590997,153.60575148284778,5.777523025634966e8,52659.77106632935,Extant
Species1,8.689813160147468,153.69196297833446,5.772414025250746e8,52884.4702407779,Extant
Species1,8.694855512737053,153.74615392736115,5.7714843319008e8,53109.66332707384,Extant
Species1,8.694638635330412,153.43485564447218,5.779541113211136e8,53332.078177257965,Extant
Species1,8.699488485491894,153.38986839977866,5.778121177644709e8,53556.87109843966,Extant
Species1,8.700483578637437,153.5298065148783,5.778140829828099e8,53782.36319307617,Extant
Species1,8.696208424335783,153.62371673277138,5.775391080082139e8,54005.38288094364,Extant
Species1,8.708800289265033,153.61214800115852,5.778466332822856e8,54232.60981596874,Extant
Species1,8.694599216292742,153.2864523551692,5.780413339291444e8,54458.75663696106,Extant
Species1,8.683412358134621,153.11420009491505,5.789612763460084e8,54678.944959335204,Extant
Species1,8.692229389512907,152.7960358303185,5.79165879327624e8,54904.15282667436,Extant
Species1,8.693273305607457,152.78688507343793,5.790512669226179e8,55130.030281496496,Extant
Species1,8.69329866091332,153.0425685361965,5.785391694648404e8,55352.48966120943,Extant
Species1,8.701566997788984,153.20248963821996,5.784036187588046e8,55578.034449371706,Extant
Species1,8.692320306802042,153.24811916541637,5.78645619682702e8,55799.275979683465,Extant
Species1,8.686925503185504,153.11302821980235,5.787851406501917e8,56022.757461547284,Extant
Species1,8.69116693082564,153.15169522938626,5.78452945603754e8,56243.851043966824,Extant
Species1,8.696071259236051,153.0758429923498,5.784331176606789e8,56468.1155246745,Extant
Species1,8.701978839017237,153.09613686403358,5.784038777239176e8,56691.19516651918,Extant
Species1,8.691924406450886,153.1332340361594,5.787108397391531e8,56916.130489535935,Extant
Species1,8.687251950096268,153.17241583475482,5.784940053331566e8,57136.980095393286,Extant
Species1,8.696947266661946,153.22715370520976,5.783565288544701e8,57360.54482734465,Extant
Species1,8.690982519448447,153.08066274922615,5.788234014145782e8,57583.85178366813,Extant
Species1,8.684753413679816,152.92653369593492,5.790980998999345e8,57807.29921861961,Extant
Species1,8.688278073089148,152.62127455844208,5.794055785154268e8,58030.677728558454,Extant
Species1,8.6784906253923,152.85786457664375,5.788977557998711e8,58254.08582874424,Extant
Species1,8.690795307498682,153.05718835907464,5.785767883991625e8,58478.6507087075,Extant
Species1,8.68795222348876,153.04070127284518,5.786341787025005e8,58703.45848504053,Extant
Species1,8.684934948951332,153.1902042935946,5.783447399145908e8,58929.78113902447,Extant
Species1,8.687522315320265,153.27796282709804,5.781264016281425e8,59153.271592368816,Extant
Species1,8.675430979450148,153.4259091487641,5.779213873931038e8,59379.02385215388,Extant
Species1,8.67692195703174,153.49371337258214,5.776184996387594e8,59605.27934270627,Extant
Species1,8.693089038404072,153.79877581436563,5.771542142145305e8,59827.30541141274,Extant
Species1,8.691104140095833,154.03874859574023,5.766711715427397e8,60053.34347930413,Extant
Species1,8.690755543273367,154.20781048697128,5.763090529057362e8,60274.469326419814,Extant
Species1,8.683585723148772,154.48805065119902,5.763012983451371e8,60497.215608445156,Extant
Species1,8.687664073856295,154.27489241406593,5.764294082763001e8,60721.511123012766,Extant
Species1,8.68850096221156,153.9691422703339,5.771111621496692e8,60946.780340846155,Extant
Species1,8.679776971452084,153.962261102401,5.767045869131211e8,61172.92924239415,Extant
Species1,8.684201494572358,153.96029605844657,5.773538213621103e8,61396.91124564182,Extant
Species1,8.689758117731746,153.90975575099387,5.767403202722627e8,61618.22350806022,Extant
Species1,8.689559332537103,153.86791281088455,5.773388857406667e8,61841.92329099381,Extant
